Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Cyanopica cyanus,Aves,Male,a1,4.030165225,1.479158129,1.960045113,7.680382062
Cyanopica cyanus,Aves,Male,c,0.072497966,0.013103679,0.038310411,0.092109625
Cyanopica cyanus,Aves,Male,b0,-7.245322548,2.038321276,-11.96197719,-3.836560469
Cyanopica cyanus,Aves,Male,b1,0.330302104,0.126577288,0.12134403,0.623293665
Pica pica,Aves,Female,a0,-2.538354636,0.843839866,-4.2561191,-0.933103703
Pica pica,Aves,Female,a1,4.524266704,3.139952163,0.179075983,11.73290503
Pica pica,Aves,Female,c,0.102247086,0.027599076,0.032375042,0.149569215
Pica pica,Aves,Female,b0,-7.923659764,2.915624355,-14.51613173,-3.204730288
Pica pica,Aves,Female,b1,0.321816887,0.162551662,0.041518769,0.66561133
Pica pica,Aves,Male,a0,-2.243653731,0.786549719,-4.032655247,-0.888169853
Pica pica,Aves,Male,a1,2.920707576,2.805930432,0.144306936,10.25859741
Pica pica,Aves,Male,c,0.093561164,0.024145377,0.037715039,0.136564472
Pica pica,Aves,Male,b0,-9.707339703,2.9542787,-15.96775342,-4.416599265
Pica pica,Aves,Male,b1,0.473099473,0.179103592,0.134252001,0.839951511
Eudyptes chrysolophus,Aves,Female,a0,-0.891705477,0.492938691,-1.937886169,0.00810376
Eudyptes chrysolophus,Aves,Female,a1,7.759688733,2.605475695,3.560878338,13.7729626
Eudyptes chrysolophus,Aves,Female,c,0.015171595,0.006550924,0.002078419,0.027445611
Eudyptes chrysolophus,Aves,Female,b0,-7.103050685,1.597591764,-10.82081778,-4.777907088
Eudyptes chrysolophus,Aves,Female,b1,0.182394794,0.058214045,0.092906566,0.314135903
Eudyptes chrysolophus,Aves,Male,a0,-2.208782825,0.639201979,-3.585315484,-1.06208493
Eudyptes chrysolophus,Aves,Male,a1,5.378124472,2.457021262,1.673675441,11.11931968
Eudyptes chrysolophus,Aves,Male,c,0.006590037,0.003832295,0.000604285,0.014912123
Eudyptes chrysolophus,Aves,Male,b0,-6.967206644,0.89221219,-8.942495573,-5.522167248
Eudyptes chrysolophus,Aves,Male,b1,0.199233641,0.037232947,0.134668403,0.278683772
Balearica pavonina,Aves,Female,a0,-0.549641696,0.419784195,-1.442868832,0.218186905
Balearica pavonina,Aves,Female,a1,10.83243496,3.098354161,5.323065952,17.46638748
Balearica pavonina,Aves,Female,c,0.055469434,0.00621936,0.041557123,0.065524576
Balearica pavonina,Aves,Female,b0,-9.690134445,2.926240626,-15.92190037,-4.623178538
Balearica pavonina,Aves,Female,b1,0.185440159,0.09232605,0.018040461,0.376160524
Balearica pavonina,Aves,Male,a0,-0.31759307,0.370527451,-1.062411638,0.364883471
Balearica pavonina,Aves,Male,a1,8.246261844,2.662589586,3.521926038,14.02898732
Balearica pavonina,Aves,Male,c,0.064737781,0.007409493,0.047727634,0.076336089
Balearica pavonina,Aves,Male,b0,-9.374121134,3.023718066,-16.08563448,-4.369657307
Balearica pavonina,Aves,Male,b1,0.168937396,0.091288307,0.015008946,0.368042909
Cygnus olor,Aves,Female,a0,-0.210301434,0.2385261,-0.663492082,0.270871222
Cygnus olor,Aves,Female,a1,5.355379094,1.673962075,2.933114861,9.531929453
Cygnus olor,Aves,Female,c,0.069794911,0.010358136,0.045237808,0.085130395
Cygnus olor,Aves,Female,b0,-7.088162695,1.817443694,-11.36982495,-4.221624979
Cygnus olor,Aves,Female,b1,0.249922689,0.087686085,0.107557679,0.452282784
Cygnus olor,Aves,Male,a0,0.009853486,0.237319302,-0.454391368,0.459746904
Cygnus olor,Aves,Male,a1,7.949133429,1.888051477,4.869001019,12.22362169
Cygnus olor,Aves,Male,c,0.079993293,0.020630147,0.023378398,0.103656673
Cygnus olor,Aves,Male,b0,-6.509687418,2.80944306,-13.18774509,-2.884423031
Cygnus olor,Aves,Male,b1,0.184643666,0.117828942,0.034130569,0.460275649
Nothoprocta perdicaria,Aves,Female,a0,-2.346189407,0.836546496,-4.095583654,-0.863471706
Nothoprocta perdicaria,Aves,Female,a1,3.842514426,3.029276291,0.106148328,11.14776113
Nothoprocta perdicaria,Aves,Female,c,0.21453564,0.050487268,0.082412554,0.305430868
Nothoprocta perdicaria,Aves,Female,b0,-8.533784933,3.492371044,-16.11115378,-2.682475604
Nothoprocta perdicaria,Aves,Female,b1,0.201640219,0.178277944,0.005625325,0.66900753
Nothoprocta perdicaria,Aves,Male,a0,-2.649357499,0.796499199,-4.312244163,-1.193439138
Nothoprocta perdicaria,Aves,Male,a1,4.905855601,3.286555464,0.147620332,12.24178113
Nothoprocta perdicaria,Aves,Male,c,0.178021442,0.046241493,0.054296256,0.25120441
Nothoprocta perdicaria,Aves,Male,b0,-7.54644062,3.521956562,-15.43777442,-2.345018852
Nothoprocta perdicaria,Aves,Male,b1,0.200197243,0.156917287,0.008279894,0.608088026
Lorius lory,Aves,Female,a0,-2.502077438,0.702094123,-4.023180828,-1.235690452
Lorius lory,Aves,Female,a1,3.12008575,2.537327191,0.295203252,9.80807926
Lorius lory,Aves,Female,c,0.071011052,0.013422425,0.035545567,0.092296042
Lorius lory,Aves,Female,b0,-9.034130967,3.278808241,-16.23538748,-3.622440912
Lorius lory,Aves,Female,b1,0.13811497,0.108979915,0.004897283,0.405603496
Lorius lory,Aves,Male,a0,-2.660400985,0.722405416,-4.180403017,-1.291971489
Lorius lory,Aves,Male,a1,4.851426487,3.403772499,0.068841473,12.35024309
Lorius lory,Aves,Male,c,0.076423716,0.015978765,0.026828502,0.097464495
Lorius lory,Aves,Male,b0,-9.599045657,3.22358035,-16.44762518,-3.898910411
Lorius lory,Aves,Male,b1,0.160840347,0.122927543,0.004370941,0.435694625
Gallicolumba jobiensis,Aves,Female,a0,-2.636857113,0.800354792,-4.264186745,-1.125242212
Gallicolumba jobiensis,Aves,Female,a1,4.544992357,3.211885896,0.130295805,11.74977783
Gallicolumba jobiensis,Aves,Female,c,0.158141392,0.029690537,0.072293233,0.200973303
Gallicolumba jobiensis,Aves,Female,b0,-8.572330051,3.445574688,-15.91806795,-2.876471962
Gallicolumba jobiensis,Aves,Female,b1,0.218050611,0.181065763,0.006310081,0.661374344
Gallicolumba jobiensis,Aves,Male,a0,-2.636118194,0.802579019,-4.248039466,-1.099361676
Gallicolumba jobiensis,Aves,Male,a1,4.766617649,3.173081293,0.357024183,12.3402472
Gallicolumba jobiensis,Aves,Male,c,0.096907793,0.040973346,0.009800761,0.160822594
Gallicolumba jobiensis,Aves,Male,b0,-5.204227869,2.559399021,-12.25563218,-2.428955188
Gallicolumba jobiensis,Aves,Male,b1,0.215883418,0.134464961,0.039889193,0.564532661
Actophilornis africanus,Aves,Female,a0,0.976700889,0.450057679,0.005557386,1.773068247
Actophilornis africanus,Aves,Female,a1,10.6798084,3.003758087,5.084704091,16.9659559
Actophilornis africanus,Aves,Female,c,0.154257163,0.044385937,0.03767549,0.218981268
Actophilornis africanus,Aves,Female,b0,-5.843862947,2.643869118,-12.39853066,-2.35166317
Actophilornis africanus,Aves,Female,b1,0.327668312,0.181239248,0.081176475,0.77461772
Actophilornis africanus,Aves,Male,a0,-0.389006661,0.813521114,-2.248942054,0.951118144
Actophilornis africanus,Aves,Male,a1,6.878450418,3.131522862,1.436142427,13.53024138
Actophilornis africanus,Aves,Male,c,0.244025236,0.035584677,0.162339429,0.301668008
Actophilornis africanus,Aves,Male,b0,-8.812953545,3.365327448,-16.03444159,-3.086910413
Actophilornis africanus,Aves,Male,b1,0.590588495,0.312956413,0.075715943,1.262224098
Pyrrhocorax pyrrhocorax,Aves,Female,a0,-1.992420479,0.499046529,-3.07398442,-1.062069899
Pyrrhocorax pyrrhocorax,Aves,Female,a1,2.056302204,1.69148069,0.258284618,6.229264526
Pyrrhocorax pyrrhocorax,Aves,Female,c,0.056030197,0.016276779,0.01563066,0.081554577
Pyrrhocorax pyrrhocorax,Aves,Female,b0,-7.732659827,2.082167829,-12.67288293,-4.454095604
Pyrrhocorax pyrrhocorax,Aves,Female,b1,0.278340261,0.093672897,0.124157062,0.492112198
Pyrrhocorax pyrrhocorax,Aves,Male,a0,-2.291371214,0.59334341,-3.61800228,-1.204722239
Pyrrhocorax pyrrhocorax,Aves,Male,a1,2.59664307,2.919791438,0.193360024,10.33449321
Pyrrhocorax pyrrhocorax,Aves,Male,c,0.063687904,0.021177102,0.012001726,0.095755087
Pyrrhocorax pyrrhocorax,Aves,Male,b0,-7.981766424,2.659493265,-14.00180583,-3.907355156
Pyrrhocorax pyrrhocorax,Aves,Male,b1,0.262504424,0.110353837,0.087988632,0.513272656
Urocissa erythrorhyncha,Aves,Female,a0,-2.011101579,0.441214985,-2.947360723,-1.23243486
Urocissa erythrorhyncha,Aves,Female,a1,2.802829899,1.595694008,0.80775803,6.831537712
Urocissa erythrorhyncha,Aves,Female,c,0.049796041,0.017951783,0.008503495,0.077690027
Urocissa erythrorhyncha,Aves,Female,b0,-5.112649104,1.181054227,-7.795229366,-3.266311793
Urocissa erythrorhyncha,Aves,Female,b1,0.182361565,0.062246059,0.084395745,0.324915448
Urocissa erythrorhyncha,Aves,Male,a0,-1.91801821,0.386975458,-2.765367634,-1.21965579
Urocissa erythrorhyncha,Aves,Male,a1,2.025079574,1.21736877,0.564155959,5.20067332
Urocissa erythrorhyncha,Aves,Male,c,0.071670562,0.016510703,0.025160619,0.094128746
Urocissa erythrorhyncha,Aves,Male,b0,-7.688684448,2.594827325,-13.43832605,-3.447669813
Urocissa erythrorhyncha,Aves,Male,b1,0.291380782,0.135039225,0.074402778,0.584684573
Cairina scutulata,Aves,Female,a0,-2.34249416,0.6427029,-3.742606753,-1.261578841
Cairina scutulata,Aves,Female,a1,7.100778458,2.938759502,2.330091224,13.64739375
Cairina scutulata,Aves,Female,c,0.023359937,0.018004745,0.000889583,0.065532701
Cairina scutulata,Aves,Female,b0,-3.106143419,0.448240558,-4.122236281,-2.618518607
Cairina scutulata,Aves,Female,b1,0.06963594,0.017939784,0.039589106,0.10968514
Cairina scutulata,Aves,Male,a0,-2.475062602,0.649241898,-3.901545877,-1.380376645
Cairina scutulata,Aves,Male,a1,6.016089548,2.826001183,1.757540878,12.4496315
Cairina scutulata,Aves,Male,c,0.024590078,0.018322508,0.000865902,0.067259703
Cairina scutulata,Aves,Male,b0,-3.060148881,0.402951704,-4.085283812,-2.570436787
Cairina scutulata,Aves,Male,b1,0.071197264,0.018143574,0.039251829,0.112097531
Dacelo novaeguineae,Aves,Female,a0,-3.25299251,0.64602611,-4.587994443,-2.082025431
Dacelo novaeguineae,Aves,Female,a1,6.664329329,3.684679258,0.250232348,14.38544279
Dacelo novaeguineae,Aves,Female,c,0.043431227,0.005202208,0.031562582,0.050946277
Dacelo novaeguineae,Aves,Female,b0,-7.29734669,0.757851766,-8.856841614,-5.914682556
Dacelo novaeguineae,Aves,Female,b1,0.267656617,0.036573222,0.199129303,0.340538177
Dacelo novaeguineae,Aves,Male,a0,-2.761724244,0.591548248,-3.90276489,-1.650805835
Dacelo novaeguineae,Aves,Male,a1,5.384190066,4.243259529,0.27547994,14.5290766
Dacelo novaeguineae,Aves,Male,c,0.048201371,0.004653903,0.03743134,0.055263538
Dacelo novaeguineae,Aves,Male,b0,-11.44827184,1.671496555,-15.01676466,-8.431564747
Dacelo novaeguineae,Aves,Male,b1,0.444954006,0.075617474,0.305217836,0.604436358
Cacatua sulphurea,Aves,Female,a0,-2.552067419,0.71374484,-4.06742123,-1.24000174
Cacatua sulphurea,Aves,Female,a1,3.663845201,2.660289533,0.372857086,10.34738494
Cacatua sulphurea,Aves,Female,c,0.044674034,0.015337913,0.00854959,0.070139125
Cacatua sulphurea,Aves,Female,b0,-6.143187024,2.024820772,-11.25670509,-3.476334454
Cacatua sulphurea,Aves,Female,b1,0.132875034,0.064914039,0.03889647,0.29212134
Cacatua sulphurea,Aves,Male,a0,-2.465502109,0.664493968,-3.86586057,-1.270858092
Cacatua sulphurea,Aves,Male,a1,2.728242564,2.203716696,0.316061984,8.880529744
Cacatua sulphurea,Aves,Male,c,0.034143948,0.006143283,0.020770547,0.045146168
Cacatua sulphurea,Aves,Male,b0,-11.0603809,3.375674672,-18.09400316,-5.137077472
Cacatua sulphurea,Aves,Male,b1,0.218425488,0.101333295,0.030478375,0.420508754
Burhinus grallarius,Aves,Female,a0,-2.975647283,0.661987104,-4.398601233,-1.76683287
Burhinus grallarius,Aves,Female,a1,4.621564448,2.912926574,0.722180385,11.60126447
Burhinus grallarius,Aves,Female,c,0.039204931,0.013225416,0.005825501,0.058411413
Burhinus grallarius,Aves,Female,b0,-7.176377546,2.964021225,-14.88799969,-3.57197111
Burhinus grallarius,Aves,Female,b1,0.19378387,0.115063693,0.048912125,0.494782185
Burhinus grallarius,Aves,Male,a0,-1.805203595,0.600352188,-3.044912237,-0.76061593
Burhinus grallarius,Aves,Male,a1,7.498175024,3.555036929,1.369477593,14.98463479
Burhinus grallarius,Aves,Male,c,0.047642571,0.007679302,0.030011972,0.060973361
Burhinus grallarius,Aves,Male,b0,-10.23669105,3.36075323,-17.13836395,-4.447118048
Burhinus grallarius,Aves,Male,b1,0.286592192,0.143366205,0.036892757,0.579925632
Spheniscus magellanicus,Aves,Female,a0,-2.20508455,0.616462627,-3.554989614,-1.157648564
Spheniscus magellanicus,Aves,Female,a1,5.848627349,2.66330803,1.695836227,11.83544685
Spheniscus magellanicus,Aves,Female,c,0.047779417,0.00488856,0.036995852,0.056330956
Spheniscus magellanicus,Aves,Female,b0,-11.28401528,3.447666918,-18.94976267,-5.999174037
Spheniscus magellanicus,Aves,Female,b1,0.334759444,0.122768586,0.141747716,0.600653
Spheniscus magellanicus,Aves,Male,a0,-2.86646274,0.619222252,-4.177783984,-1.744289203
Spheniscus magellanicus,Aves,Male,a1,5.152839119,3.097936671,0.901009285,12.57150498
Spheniscus magellanicus,Aves,Male,c,0.04024335,0.004970039,0.029432364,0.048911461
Spheniscus magellanicus,Aves,Male,b0,-9.242387336,2.214256274,-14.37504888,-5.792502524
Spheniscus magellanicus,Aves,Male,b1,0.26622651,0.080043817,0.136282827,0.447430217
Pseudeos fuscata,Aves,Female,a0,-2.127064593,0.778937007,-3.843056668,-0.797044873
Pseudeos fuscata,Aves,Female,a1,4.557698382,2.656777256,0.71099434,10.94955156
Pseudeos fuscata,Aves,Female,c,0.092481236,0.022191204,0.030117186,0.122524054
Pseudeos fuscata,Aves,Female,b0,-7.310520786,3.23385039,-15.08494743,-2.977996696
Pseudeos fuscata,Aves,Female,b1,0.13476804,0.09671454,0.0082162,0.374861768
Pseudeos fuscata,Aves,Male,a0,-2.507051227,0.755312399,-4.105243475,-1.160722124
Pseudeos fuscata,Aves,Male,a1,4.400070894,2.733638343,0.586739067,11.16459032
Pseudeos fuscata,Aves,Male,c,0.072988139,0.017033947,0.025308661,0.097881116
Pseudeos fuscata,Aves,Male,b0,-7.97569251,3.052981059,-15.11124657,-3.454594757
Pseudeos fuscata,Aves,Male,b1,0.30436443,0.151708178,0.075280674,0.655728093
Trichoglossus haematodus,Aves,Female,a0,-3.465367483,0.661459504,-4.844235033,-2.266134586
Trichoglossus haematodus,Aves,Female,a1,5.290537999,3.567397798,0.088616794,13.25394819
Trichoglossus haematodus,Aves,Female,c,0.101935076,0.023431647,0.025182903,0.126146991
Trichoglossus haematodus,Aves,Female,b0,-6.147863136,2.320622899,-12.04043624,-2.663270104
Trichoglossus haematodus,Aves,Female,b1,0.216906373,0.11765646,0.047854037,0.516510797
Trichoglossus haematodus,Aves,Male,a0,-3.06276996,0.627698937,-4.458063881,-1.94488579
Trichoglossus haematodus,Aves,Male,a1,4.49930545,3.154485638,0.257942218,12.01770665
Trichoglossus haematodus,Aves,Male,c,0.111562406,0.01071354,0.087903016,0.12380771
Trichoglossus haematodus,Aves,Male,b0,-8.157384165,1.788464871,-12.27150995,-5.077776314
Trichoglossus haematodus,Aves,Male,b1,0.338252718,0.093662994,0.174174522,0.55118629
Marmaronetta angustirostris,Aves,Female,a0,-0.777915936,0.260561719,-1.320177642,-0.301281652
Marmaronetta angustirostris,Aves,Female,a1,13.47378751,2.856981459,8.252166184,19.49308698
Marmaronetta angustirostris,Aves,Female,c,0.0320267,0.01946538,0.001906605,0.0710306
Marmaronetta angustirostris,Aves,Female,b0,-2.823949439,0.316278749,-3.569276768,-2.388432842
Marmaronetta angustirostris,Aves,Female,b1,0.072521909,0.015306357,0.04692565,0.106737651
Marmaronetta angustirostris,Aves,Male,a0,0.180890475,0.171442599,-0.157278729,0.515385719
Marmaronetta angustirostris,Aves,Male,a1,16.08492529,2.253703469,11.92030043,20.88918535
Marmaronetta angustirostris,Aves,Male,c,0.083929981,0.004594085,0.074948309,0.09271677
Marmaronetta angustirostris,Aves,Male,b0,-7.984906813,1.045854356,-10.29255968,-6.186122574
Marmaronetta angustirostris,Aves,Male,b1,0.490453096,0.078863059,0.348528502,0.658097519
Streptopelia roseogrisea,Aves,Female,a0,-0.426309828,0.377873233,-1.226761947,0.260973568
Streptopelia roseogrisea,Aves,Female,a1,10.25035757,2.758955772,5.294653263,16.11681396
Streptopelia roseogrisea,Aves,Female,c,0.079073928,0.009095343,0.060515541,0.094552133
Streptopelia roseogrisea,Aves,Female,b0,-9.038629586,2.486592989,-14.64888479,-4.982035371
Streptopelia roseogrisea,Aves,Female,b1,0.382544988,0.128355701,0.164682524,0.660662942
Streptopelia roseogrisea,Aves,Male,a0,-0.58290729,0.367425772,-1.351259335,0.077637394
Streptopelia roseogrisea,Aves,Male,a1,7.601502361,2.036696984,4.117783749,12.10949802
Streptopelia roseogrisea,Aves,Male,c,0.072880326,0.006383516,0.060228856,0.085368164
Streptopelia roseogrisea,Aves,Male,b0,-10.64895175,2.50163006,-15.8667626,-6.273741847
Streptopelia roseogrisea,Aves,Male,b1,0.449812684,0.131027375,0.210569157,0.714474259
Trichoglossus chlorolepidotus,Aves,Female,a0,-2.591404499,0.800944375,-4.229417517,-1.113173564
Trichoglossus chlorolepidotus,Aves,Female,a1,4.995483213,2.912970403,0.379221293,11.77941009
Trichoglossus chlorolepidotus,Aves,Female,c,0.08099408,0.02237355,0.021926453,0.116009955
Trichoglossus chlorolepidotus,Aves,Female,b0,-7.741282231,3.126940988,-14.63786163,-3.116701269
Trichoglossus chlorolepidotus,Aves,Female,b1,0.342365859,0.199982343,0.047986461,0.786849875
Trichoglossus chlorolepidotus,Aves,Male,a0,-2.3694009,0.759196651,-4.02330594,-1.031090993
Trichoglossus chlorolepidotus,Aves,Male,a1,3.738401297,2.813591201,0.155513245,10.36014275
Trichoglossus chlorolepidotus,Aves,Male,c,0.123031424,0.023831524,0.061407215,0.160305835
Trichoglossus chlorolepidotus,Aves,Male,b0,-9.027218763,3.253775809,-16.16185419,-3.534768117
Trichoglossus chlorolepidotus,Aves,Male,b1,0.302117646,0.211255383,0.012503493,0.771295088
Polytelis anthopeplus,Aves,Female,a0,-2.530666574,0.805271048,-4.220421386,-1.076422815
Polytelis anthopeplus,Aves,Female,a1,4.883622164,3.075166279,0.358610518,12.04908156
Polytelis anthopeplus,Aves,Female,c,0.109848545,0.033633808,0.019474305,0.157049878
Polytelis anthopeplus,Aves,Female,b0,-6.878947488,3.217740623,-14.87719903,-2.536881676
Polytelis anthopeplus,Aves,Female,b1,0.219089115,0.161922973,0.014452388,0.631822649
Polytelis anthopeplus,Aves,Male,a0,-1.753483396,0.774561056,-3.44246357,-0.457091146
Polytelis anthopeplus,Aves,Male,a1,4.54131334,2.489413409,0.915257432,10.40339299
Polytelis anthopeplus,Aves,Male,c,0.089187401,0.021748051,0.030619099,0.122088034
Polytelis anthopeplus,Aves,Male,b0,-7.246373246,2.757146398,-13.4804934,-3.079359453
Polytelis anthopeplus,Aves,Male,b1,0.268963663,0.157262366,0.031256268,0.632709056
Mergus merganser,Aves,Female,a0,-0.558256457,0.240636616,-1.03151308,-0.094866928
Mergus merganser,Aves,Female,a1,2.087572099,0.565300748,1.214953242,3.385879195
Mergus merganser,Aves,Female,c,0.113723638,0.030086317,0.026464249,0.15408716
Mergus merganser,Aves,Female,b0,-6.583910257,2.429556246,-12.10798325,-2.750131796
Mergus merganser,Aves,Female,b1,0.356342284,0.171871441,0.0914275,0.737474386
Mergus merganser,Aves,Male,a0,-0.33611704,0.218973817,-0.764241651,0.075241633
Mergus merganser,Aves,Male,a1,2.290322217,0.554424113,1.362822797,3.569027002
Mergus merganser,Aves,Male,c,0.140641233,0.022047129,0.084136249,0.173770512
Mergus merganser,Aves,Male,b0,-7.663243071,2.45029486,-13.06294318,-3.454495925
Mergus merganser,Aves,Male,b1,0.438579841,0.176133608,0.127618108,0.820351787
Mergus serrator,Aves,Female,a0,-0.654795817,0.577957678,-1.968938578,0.312739193
Mergus serrator,Aves,Female,a1,3.23487087,1.648172142,0.997309976,7.209647068
Mergus serrator,Aves,Female,c,0.117826682,0.044184434,0.015422687,0.189469938
Mergus serrator,Aves,Female,b0,-5.862792791,2.618549726,-12.65175654,-2.528057077
Mergus serrator,Aves,Female,b1,0.294186983,0.165594134,0.047827996,0.687824303
Mergus serrator,Aves,Male,a0,-0.511290606,0.472009637,-1.533194812,0.31468591
Mergus serrator,Aves,Male,a1,1.560034821,0.930883343,0.489809095,3.921371683
Mergus serrator,Aves,Male,c,0.180350195,0.052184441,0.049381472,0.269407804
Mergus serrator,Aves,Male,b0,-7.836742237,3.308263828,-15.30721148,-2.666315508
Mergus serrator,Aves,Male,b1,0.296201235,0.210127049,0.012106287,0.775021992
Phoeniculus purpureus,Aves,Female,a0,-2.472469599,0.605504966,-3.868824463,-1.438686111
Phoeniculus purpureus,Aves,Female,a1,2.575618268,2.791266433,0.121656552,10.28777558
Phoeniculus purpureus,Aves,Female,c,0.173735589,0.030572682,0.09216815,0.215197237
Phoeniculus purpureus,Aves,Female,b0,-8.604877281,3.367172935,-16.03894976,-3.019395212
Phoeniculus purpureus,Aves,Female,b1,0.220665191,0.179180165,0.007303815,0.655822949
Phoeniculus purpureus,Aves,Male,a0,-2.570570234,0.709753407,-4.093956674,-1.331036206
Phoeniculus purpureus,Aves,Male,a1,4.917916966,3.108575537,0.428727132,11.99567623
Phoeniculus purpureus,Aves,Male,c,0.132580332,0.027345938,0.055714299,0.167662666
Phoeniculus purpureus,Aves,Male,b0,-6.75349046,2.902293623,-14.16400708,-2.742922062
Phoeniculus purpureus,Aves,Male,b1,0.203192062,0.125729639,0.017260682,0.490532649
Otidiphaps nobilis,Aves,Female,a0,0.438268946,0.249910419,-0.080143467,0.89965634
Otidiphaps nobilis,Aves,Female,a1,8.938134987,2.238378983,4.767435893,13.54470494
Otidiphaps nobilis,Aves,Female,c,0.09826688,0.012521638,0.070021444,0.117041369
Otidiphaps nobilis,Aves,Female,b0,-9.395547814,3.224350248,-16.2385902,-3.689080849
Otidiphaps nobilis,Aves,Female,b1,0.205732569,0.143575955,0.006478258,0.518196772
Otidiphaps nobilis,Aves,Male,a0,1.004756598,0.197482556,0.602586418,1.374718698
Otidiphaps nobilis,Aves,Male,a1,10.01360075,1.94697336,6.620828608,14.09367407
Otidiphaps nobilis,Aves,Male,c,0.080127782,0.008248279,0.064277506,0.095058579
Otidiphaps nobilis,Aves,Male,b0,-11.16954059,3.256144906,-18.19648812,-5.28635262
Otidiphaps nobilis,Aves,Male,b1,0.349580637,0.138975461,0.071923953,0.63123711
Ixobrychus minutus,Aves,Female,a0,-1.978514018,0.770368011,-3.811564608,-0.871988634
Ixobrychus minutus,Aves,Female,a1,1.840065508,2.345009789,0.097369662,8.66435303
Ixobrychus minutus,Aves,Female,c,0.24096229,0.074818408,0.053112418,0.349622141
Ixobrychus minutus,Aves,Female,b0,-8.898583667,3.267509395,-15.86185739,-3.222710798
Ixobrychus minutus,Aves,Female,b1,0.441227416,0.312008592,0.015213378,1.116218994
Ixobrychus minutus,Aves,Male,a0,-2.442868407,0.735781268,-4.040215625,-1.250562648
Ixobrychus minutus,Aves,Male,a1,2.67841556,2.653058089,0.113534168,9.73469449
Ixobrychus minutus,Aves,Male,c,0.19881027,0.046243576,0.072014932,0.269639853
Ixobrychus minutus,Aves,Male,b0,-8.250509289,3.390316334,-15.65219267,-2.713393568
Ixobrychus minutus,Aves,Male,b1,0.298072912,0.240811873,0.009850585,0.884567694
Pavo muticus,Aves,Female,a0,-2.357223895,0.790135026,-4.046155555,-0.957298837
Pavo muticus,Aves,Female,a1,6.882885423,3.164857806,1.328789138,13.68400628
Pavo muticus,Aves,Female,c,0.074524152,0.019280029,0.022534,0.102304839
Pavo muticus,Aves,Female,b0,-6.081628705,1.978098425,-10.30030284,-3.155428547
Pavo muticus,Aves,Female,b1,0.249194453,0.107941832,0.084992586,0.476150199
Pavo muticus,Aves,Male,a0,-2.718423334,0.717847737,-4.251081408,-1.411493698
Pavo muticus,Aves,Male,a1,4.461113256,3.200395317,0.202384152,12.01597491
Pavo muticus,Aves,Male,c,0.093823895,0.016979463,0.044826697,0.117091593
Pavo muticus,Aves,Male,b0,-8.651151453,2.917751367,-14.79802484,-3.572537731
Pavo muticus,Aves,Male,b1,0.331033547,0.1773946,0.031549045,0.689540788
Loriculus galgulus,Aves,Female,a0,-2.650628742,0.723234702,-4.153173367,-1.354672784
Loriculus galgulus,Aves,Female,a1,5.696490396,3.234877619,0.424692063,12.65729143
Loriculus galgulus,Aves,Female,c,0.165773025,0.045533353,0.038029188,0.219499501
Loriculus galgulus,Aves,Female,b0,-5.181878336,2.498721748,-11.7844538,-2.012840284
Loriculus galgulus,Aves,Female,b1,0.225035882,0.149839979,0.039272333,0.611198393
Loriculus galgulus,Aves,Male,a0,-2.079833559,0.63479384,-3.537256976,-1.02398707
Loriculus galgulus,Aves,Male,a1,5.308902024,2.768072522,1.11181977,11.74614677
Loriculus galgulus,Aves,Male,c,0.162637251,0.017337527,0.123040154,0.186774873
Loriculus galgulus,Aves,Male,b0,-8.624851505,3.057885556,-15.3943307,-3.573673422
Loriculus galgulus,Aves,Male,b1,0.439012278,0.199154422,0.09446183,0.880176543
Taeniopygia bichenovii,Aves,Female,a0,-2.363760549,0.851032364,-4.133844884,-0.83941084
Taeniopygia bichenovii,Aves,Female,a1,4.501163193,3.205819224,0.119522531,12.08385621
Taeniopygia bichenovii,Aves,Female,c,0.297541428,0.058864619,0.121477862,0.373102943
Taeniopygia bichenovii,Aves,Female,b0,-7.250137713,3.17132295,-14.42262409,-2.067560468
Taeniopygia bichenovii,Aves,Female,b1,0.487082204,0.332756441,0.030187515,1.248509155
Taeniopygia bichenovii,Aves,Male,a0,-1.65679434,0.812016941,-3.548495535,-0.420663007
Taeniopygia bichenovii,Aves,Male,a1,3.048439718,2.498489877,0.466602394,9.918627004
Taeniopygia bichenovii,Aves,Male,c,0.201924832,0.077054662,0.024742203,0.315263549
Taeniopygia bichenovii,Aves,Male,b0,-4.448534625,1.975296171,-9.399289325,-1.897725536
Taeniopygia bichenovii,Aves,Male,b1,0.39889834,0.193682504,0.116799353,0.859588727
Poephila acuticauda,Aves,Female,a0,-2.581492648,0.760455069,-4.154210243,-1.261212986
Poephila acuticauda,Aves,Female,a1,3.875741145,3.135566876,0.109896986,11.50861032
Poephila acuticauda,Aves,Female,c,0.224811389,0.055090986,0.068163386,0.296477054
Poephila acuticauda,Aves,Female,b0,-5.863831744,2.219238571,-10.74775653,-2.153757295
Poephila acuticauda,Aves,Female,b1,0.459079533,0.211460715,0.104814362,0.905206735
Poephila acuticauda,Aves,Male,a0,-1.658326396,0.601819725,-3.194606844,-0.763842951
Poephila acuticauda,Aves,Male,a1,1.814318637,1.827769104,0.265646775,7.551418117
Poephila acuticauda,Aves,Male,c,0.15312535,0.04402091,0.037910992,0.214241735
Poephila acuticauda,Aves,Male,b0,-7.060739551,1.685949345,-10.59108156,-3.806065439
