Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Callithrix jacchus,Mammalia,Female,b1,0.074931671,0.010806002,0.057745712,0.101384866
Callithrix jacchus,Mammalia,Male,a0,1.441922806,0.091298313,1.26498587,1.621953929
Callithrix jacchus,Mammalia,Male,a1,39.44236681,2.576201683,34.45935382,44.63113449
Callithrix jacchus,Mammalia,Male,c,0.042994068,0.022202155,0.002852581,0.081683565
Callithrix jacchus,Mammalia,Male,b0,-3.139873668,0.468736898,-4.179059373,-2.470018167
Callithrix jacchus,Mammalia,Male,b1,0.103322604,0.027321296,0.064622431,0.167869515
Tragelaphus spekii,Mammalia,Female,a0,1.331160603,0.076868705,1.176084395,1.478747523
Tragelaphus spekii,Mammalia,Female,a1,18.16032521,1.429820048,15.37133475,21.03833536
Tragelaphus spekii,Mammalia,Female,c,0.103876027,0.003798355,0.096315684,0.111342442
Tragelaphus spekii,Mammalia,Female,b0,-8.090479622,0.725783039,-9.625996693,-6.805906251
Tragelaphus spekii,Mammalia,Female,b1,0.432640716,0.046730582,0.347292972,0.529522624
Tragelaphus spekii,Mammalia,Male,a0,1.981771725,0.069382279,1.844077634,2.121718169
Tragelaphus spekii,Mammalia,Male,a1,29.37149739,1.93614818,25.7519768,33.28740139
Tragelaphus spekii,Mammalia,Male,c,0.193406433,0.00593603,0.181599354,0.205066605
Tragelaphus spekii,Mammalia,Male,b0,-10.7050229,1.898514707,-14.95471317,-7.502388675
Tragelaphus spekii,Mammalia,Male,b1,0.60726267,0.123037739,0.390260242,0.874753791
Tragelaphus strepsiceros,Mammalia,Female,a0,0.828348476,0.090851863,0.649114996,1.00231225
Tragelaphus strepsiceros,Mammalia,Female,a1,11.64038463,1.139343356,9.489579788,14.04455811
Tragelaphus strepsiceros,Mammalia,Female,c,0.068590683,0.005430361,0.057491173,0.078630752
Tragelaphus strepsiceros,Mammalia,Female,b0,-5.650812669,0.409681336,-6.505993637,-4.875877247
Tragelaphus strepsiceros,Mammalia,Female,b1,0.300898274,0.028077636,0.247839879,0.359191136
Tragelaphus strepsiceros,Mammalia,Male,a0,1.563123104,0.096123459,1.373739808,1.74836844
Tragelaphus strepsiceros,Mammalia,Male,a1,25.43623105,2.584463013,20.56267361,30.70833337
Tragelaphus strepsiceros,Mammalia,Male,c,0.123288374,0.0157227,0.087311782,0.149531085
Tragelaphus strepsiceros,Mammalia,Male,b0,-3.872617521,0.451964877,-4.779981341,-2.982472189
Tragelaphus strepsiceros,Mammalia,Male,b1,0.207838256,0.035548849,0.137226999,0.276817971
Chrotogale owstoni,Mammalia,Female,a0,-1.912191098,0.8542967,-3.729496131,-0.363410917
Chrotogale owstoni,Mammalia,Female,a1,3.745801948,2.825391915,0.220609021,10.72464787
Chrotogale owstoni,Mammalia,Female,c,0.130759352,0.033566657,0.051184455,0.192121058
Chrotogale owstoni,Mammalia,Female,b0,-8.434883979,3.002618308,-15.05580311,-3.520609695
Chrotogale owstoni,Mammalia,Female,b1,0.42035453,0.203274391,0.057398208,0.848328359
Chrotogale owstoni,Mammalia,Male,a0,-2.071951659,0.847042601,-3.850013994,-0.489045675
Chrotogale owstoni,Mammalia,Male,a1,4.522383364,3.233661802,0.294504142,12.02254173
Chrotogale owstoni,Mammalia,Male,c,0.08665423,0.028061409,0.022967328,0.138815753
Chrotogale owstoni,Mammalia,Male,b0,-7.872428471,2.615751224,-13.88263292,-3.715967036
Chrotogale owstoni,Mammalia,Male,b1,0.415392466,0.175446829,0.096141855,0.794850094
Genetta genetta,Mammalia,Female,a0,-1.545641417,0.516709272,-2.564985227,-0.560532701
Genetta genetta,Mammalia,Female,a1,2.849027766,2.254000312,0.536799807,8.994053104
Genetta genetta,Mammalia,Female,c,0.034633721,0.011098455,0.011000737,0.055189011
Genetta genetta,Mammalia,Female,b0,-8.53207259,1.646158029,-11.98989349,-5.626265382
Genetta genetta,Mammalia,Female,b1,0.398020573,0.091916258,0.228443819,0.589105785
Genetta genetta,Mammalia,Male,a0,-0.753229491,0.391445903,-1.566316956,-0.046276838
Genetta genetta,Mammalia,Male,a1,4.327898127,1.311753077,2.119350673,7.260315267
Genetta genetta,Mammalia,Male,c,0.012815142,0.008261084,0.000674717,0.030988387
Genetta genetta,Mammalia,Male,b0,-5.650618421,0.842910132,-7.599736167,-4.321903032
Genetta genetta,Mammalia,Male,b1,0.255320139,0.055568799,0.158621404,0.376231692
Genetta tigrina,Mammalia,Female,a0,-2.338446285,0.705367927,-3.878612429,-1.071637381
Genetta tigrina,Mammalia,Female,a1,2.769678929,2.417884733,0.276246659,9.054957909
Genetta tigrina,Mammalia,Female,c,0.033008661,0.013002327,0.007775145,0.058930823
Genetta tigrina,Mammalia,Female,b0,-9.920147598,2.924707423,-16.65350367,-5.106429772
Genetta tigrina,Mammalia,Female,b1,0.428190987,0.159567802,0.147063483,0.778606599
Genetta tigrina,Mammalia,Male,a0,-2.015474642,0.719376561,-3.533011998,-0.741567758
Genetta tigrina,Mammalia,Male,a1,3.669095178,2.246040128,0.584232509,9.285637335
Genetta tigrina,Mammalia,Male,c,0.020207753,0.009480698,0.003084437,0.040652803
