"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Anas castanea","Aves","Anseriformes",-0.111989399964047,475.356171377313,523.948849252065,1.23203285420945,1.13593429158111,"1",380,NA,0,1.2,0.728356227751306
"Anas crecca","Aves","Anseriformes",0.00259444684010729,277.490010626255,309.499795980489,1.08281998631075,1.08364134154689,"1",251.75,NA,-2,1.2,0.661207887610611
"Anas erythrorhyncha","Aves","Anseriformes",0.0843885392852842,440.286296456434,483.188745571407,2.44216290212183,2.14209445585216,"1",351,NA,-0.75,0,0.603613004413568
"Ciconia nigra","Aves","Ciconiiformes",-0.194961427525341,2884.91197729617,3066.70453468927,4.00766598220397,4.90677618069815,"1",NA,NA,-0.25,0,0.657073639850118
"Acryllium vulturinum","Aves","Galliformes",-0.156764981280204,1523.03368519358,1731.53423963827,1.36043805612594,1.56878850102669,"1",NA,NA,-2,0,0.738875427290742
"Callipepla squamata","Aves","Galliformes",-0.333699907529951,177,191,0.99512115,1,"1",198.5325,NA,-0.5,0,0.53143663259572
"Callipepla californica","Aves","Galliformes",-0.300959029601122,166.5,185,0.31211498973306,0.31211498973306,"1",140,NA,-0.6,0.6,0.61557114463333
"Callipepla gambelii","Aves","Galliformes",-0.028223616011851,157.957976381268,160.820474343532,1.10198494182067,1.07323750855578,"1",151.40625,NA,-2,1,0.605563839242643
"Anas sparsa","Aves","Anseriformes",-0.118127842872367,859.714796722531,1007.60320820232,NA,NA,"1",425.9823529707,NA,NA,0,0.569249445990105
"Crex crex","Aves","Gruiformes",0.00748152534475919,166.072950338141,181.865872694338,0.920465434633812,0.914442162902122,"0",132,NA,-2,0.4,0.65048578744689
"Rhynchopsitta pachyrhyncha","Aves","Psittaciformes",-0.043116633715198,307.461418723523,327.953674449582,4.94455852156057,6.82792607802875,"1",58.5,NA,-1.25,0,0.574404872069599
"Cacatua leadbeateri","Aves","Psittaciformes",-0.193281270628648,369.262996121734,380.002526587545,4.00054757015743,3.2145106091718,"1",NA,NA,-0.6,-0.2,0.610632421011484
"Vanellus miles","Aves","Charadriiformes",0.0407577883490453,244.995093994406,262.346744302254,1.94661190965092,1.96303901437372,"1",128,NA,0,1,0.600483687612131
"Vanellus spinosus","Aves","Charadriiformes",-0.02985966324234,144.512171038418,149.874168529009,NA,NA,"1",106.6,NA,0.67,1,0.553708661026604
"Colinus virginianus","Aves","Galliformes",-0.311751371491703,201.03353301225,206.728521031794,0.572210814510609,0.572210814510609,"0",173.55,NA,0,0.6,0.793636428922705
"Cyrtonyx montezumae","Aves","Galliformes",0.0547959822031244,191.896629041163,190.74268596477,NA,NA,NA,NA,NA,NA,1,0.449383432947854
"Meleagris gallopavo","Aves","Galliformes",0.0192962386411448,5202.84575911983,10450.7097952909,0.991649555099247,0.998220396988364,"0",866.8,NA,-2,1.2,0.749405155832802
"Hemignathus virens","Aves","Passeriformes",-0.0979631955252544,12.3268636531391,13.6503953574008,NA,NA,"1",NA,NA,NA,0.8,0.401545004511682
"Cacicus cela","Aves","Passeriformes",0.196219072733091,64.6158637527992,96.004377620061,1.07049965776865,1.1854893908282,"0",NA,NA,NA,0,0.534649270366708
"Cacicus haemorrhous","Aves","Passeriformes",0.105372428358844,68.7,100.75,NA,NA,"0",NA,NA,NA,0,0.415931420119341
