"species","Class","Order","exFemale","exFemaleSD","exFemaleLower","exFemaleUpper","exMale","exMaleSD","exMaleLower","exMaleUpper","exDiff","exDiffSD","exDiffLower","exDiffUpper","zeroOverlap"
"Cotinga cayana","Aves","Passeriformes",6.79121042487553,0.649067097608994,5.48907389636503,8.08934119887425,5.70277172807475,0.599090647748125,4.56497306309653,6.91103479903164,0.152996360341426,0.122024998779235,-0.0904159280583396,0.363049346942652,0.209910487780792
"Chloephaga melanoptera","Aves","Anseriformes",7.0320315316346,0.56459366143527,6.02838124342019,8.22933931920599,7.35992244425739,0.74276800103831,6.00965725748724,8.89853536946837,-0.0396077389351647,0.115787014263424,-0.269609467760388,0.200180420811193,0.732295126647079
"Tragopan caboti","Aves","Galliformes",4.27136747155173,0.29781674275422,3.71950918582856,4.89490868326767,4.35189844423464,0.360529597745556,3.69676009279804,5.08321939049939,-0.0162664596796004,0.0994121739207365,-0.191893043801971,0.17609346650548,0.870025232538398
"Lophophorus impejanus","Aves","Galliformes",6.93652097958226,0.278522302670918,6.41765523142627,7.47757072541661,8.13148169370711,0.281639596009918,7.60501611525717,8.68696161525868,-0.145887472000546,0.0462034697018422,-0.232358907600749,-0.0502955130418203,0.0015912804277971
"Tadorna cana","Aves","Anseriformes",8.00899506508315,0.400328471716047,7.24993133707636,8.8399479486755,8.68454807735514,0.528486838619723,7.66600519973949,9.75572074424971,-0.0749036695208198,0.0733703138496299,-0.210027240249207,0.0801686098144968,0.307302360902135
"Tadorna ferruginea","Aves","Anseriformes",10.1002875629627,0.338935123015659,9.46918839325606,10.7929330871024,11.1940081639764,0.396701681191743,10.4940662105289,12.0032370211807,-0.0964638309390937,0.0461997526942206,-0.190515128596614,-0.0082914865481,0.0368002806400494
"Psittacula derbiana","Aves","Psittaciformes",11.7441562388273,0.969160114983178,10.0903276480707,13.9033844675839,9.53439840564088,0.679148267116243,8.33107813700632,11.0429565279492,0.182934066837335,0.0865756335079148,0.0178090716934522,0.340538579541023,0.0346010118400462
"Rupicola peruvianus","Aves","Passeriformes",7.08755491906526,0.572469057558444,6.12090931210577,8.33999658892053,7.18317858025729,0.704720466173988,5.89678865319807,8.61141074321743,-0.0111451117618888,0.120053222483983,-0.232478043745427,0.238706313908096,0.926034837969378
"Clangula hyemalis","Aves","Anseriformes",7.88386560978007,0.816250170400726,6.51464768085963,9.54947199713613,6.98769123894222,0.843300607997793,5.60709978253011,8.96869672345645,0.107147018766089,0.134812528782888,-0.163117479618941,0.362847093024605,0.426738392006442
"Tadorna tadorna","Aves","Anseriformes",9.564376952961,0.218674183067407,9.12509478681521,9.97949550733651,9.31177356074687,0.217325348858262,8.91093322674798,9.74564234571266,0.026026298376869,0.0315034459937543,-0.0373292472621549,0.0820327993503109,0.408723932105677
"Tadorna tadornoides","Aves","Anseriformes",9.10354997788065,0.607281424321146,8.02430115117849,10.3830659065962,9.33837635660089,0.797627921221418,7.95541467969556,11.010492211202,-0.0220780970449782,0.0976709528072746,-0.198369992134044,0.17468700942612,0.821165891345191
"Tauraco leucotis","Aves","Musophagiformes",11.7464575153231,0.576023106066502,10.6954056681392,12.9448493298156,12.520463966157,0.619148659033124,11.3718948172515,13.7421597730757,-0.0597813382839274,0.0672117487559132,-0.181384505185578,0.0734079914792325,0.373762495596624
"Aulacorhynchus prasinus","Aves","Piciformes",4.83312278053148,0.667793292091863,3.70561520013731,6.33092044875686,5.64085501333958,0.707874498335886,4.35918935821941,7.0221760656968,-0.132967899324518,0.157764189727219,-0.422632600882456,0.201056968724469,0.399325274063854
